,,,,"  Table 1. Revised Estimates of Florida Population by County, 2010–2020",  ,,,,,,,,,,,,,,
, Census                                                                                                                           Estimate                                                                                                                                       Census,,,,,,,,,,,,,,,,,,
Hillsborough,"12,709","16,817","16,817","19,382","19,382",,"22,867",,"22,481",,"25,456",,"25,381",,"26,751",,"30,082",,"28,610"
Holmes,-44 ,15 ,15 ,-25 ,-25 ,,-44 ,,-145 ,,34 ,,  109 ,,-92 ,,-72 ,,-10 
Indian River,"1,059","     1,101","     1,101",     752 ,     752 ,,"     1,701",,"     2,412",,"     2,929",,"     2,630",,"     2,797",,"     2,950",,"3,429"
Jackson,-26 ,  140 ,  140 ,93 ,93 ,,75 ,,92 ,, -103 ,,57 ,,35 ,,"-2,488",,-302 
Jefferson,-96 , -157 , -157 ,75 ,75 ,,20 ,,-42 ,,-60 ,,  111 ,,  116 ,,40 ,,-258 
Lafayette,-151 , -125 , -125 ,-69 ,-69 ,,24 ,,-82 ,,-62 ,, -199 ,,-8 ,, -137 ,,165 
,,,,,"Table 2. Annual Population Change by County in Florida, 2010–2020",,,,,,,,,,,,,,
,,,,,,,,,    Population  Change,,,,,,,,,,
  2010–2011,,,2011–2012,,2012–2013,,2013–2014,,2014–2015,,2015–2016,,2016–2017,,2017–2018,,2018–2019,,2019–2020
Lake," 4,514",,"    4,755",,"    6,135",,"      8,025",,"      8,829",,"      9,316",,"      9,861",,"11,706",,"   13,142",,"10,626"
Lee,"8,755",,"12,144",,"    9,066",,"11,980",,"14,282",,"16,419",,"  17,397",,"15,999",,"   19,075",,"16,951"
Leon,   943 ,, 903 ,,433 ,,"     1,863",,"     2,039",,"     2,070",,576 ,,"     2,889",,"     2,740",,"2,255"
Levy,59 ,,      -202 ,,71 ,,  210 ,,  132 ,,  257 ,,463 ,,  251 ,,410 ,,463 
Liberty,-84 ,,92 ,,-71 ,,82 ,,-63 ,,-66 ,,-94 ,,  108 ,,-147 ,,-148 
Madison,-47 ,,      -171 ,,-40 ,,-169 ,,-188 ,, -106 ,,50 ,,-35 ,,-59 ,,-491 
Manatee,"4,162",,"    5,151",,"    4,965",,"     6,412",,"     9,208",,"     8,739",,"  10,092",,"     8,813",,"     9,242",,"10,093"
Marion,"1,966",,"    2,642",,"    3,150",,"     3,396",,"     4,412",,"     4,975",,"     4,606",,"     5,441",,"     6,717",,"7,300"
Martin,   415 ,, 521 ,,950 ,,  780 ,,"     1,256",,"     1,100",,"     1,555",,"     1,748",,"     1,922",,"1,866"
Miami-Dade,"12,104",,"19,520",,"18,438",,"18,861",,"24,345",,"29,987",,"  27,301",,"21,559",,"   19,821",,"13,374"
Monroe,   536 ,, 839 ,,"    1,156",,  942 ,,  846 ,,"     1,722",,"     1,147",,-977 ,,"     1,854",,"1,719"
Nassau,   779 ,, 596 ,,"    1,097",,"     1,029",,"     1,448",,"     1,631",,"     2,451",,"     2,301",,"     2,343",,"3,363"
Okaloosa,"1,899",,"    4,859",,"    2,399",,"     2,952",,"     2,500",,"     2,436",,"     3,307",,"     3,481",,"     3,845",,"3,168"
Okeechobee,  -303 ,,      -263 ,,-216 ,,-130 ,,-37 ,, 407 ,,88 ,,-175 ,,255 ,,22 
Orange,"17,214",,"22,728",,"27,052",,"26,666",,"27,889",,"30,582",,"  33,615",,"34,641",,"   34,196",,"29,369"
Osceola,"7,139",,"    8,269",,"    8,838",,"     9,116",,"12,399",,"13,987",,"  14,337",,"14,432",,"   15,832",,"15,622"
Palm Beach,"10,547",,"12,603",,"14,391",,"17,202",,"20,147",,"18,156",,"  22,177",,"19,894",,"   17,455",,"19,485"
Pasco,"5,054",,"    5,365",,"    6,997",,"     7,919",,"     9,944",,"10,618",,"  11,664",,"11,569",,"   13,256",,"14,808"
Pinellas,   241 ,, 548 ,,"    3,260",,"     3,941",,"     7,431",,"     6,885",,"     5,552",,"     5,570",,"     4,944",,"4,193"
Polk,"6,180",,"    5,791",,"    8,621",,"10,323",,"11,251",,"14,134",,"  14,988",,"13,892",,"   16,917",,"20,854"
Putnam,  -326 ,,      -648 ,,-469 ,,-182 ,,29 ,,87 ,,146 ,,-70 ,,142 ,,248 
St. Johns,"5,079",,"    5,441",,"    6,911",,"     7,412",,"     7,743",,"     8,116",,"     9,731",,"     9,769",,"   13,661",,"9,523"
St. Lucie,"3,004",,"    2,395",,"    2,540",,"     3,287",,"     5,458",,"     5,784",,"     5,671",,"     5,755",,"     7,058",,"10,485"
Santa Rosa,"4,215",,"    1,779",,"    2,509",,"     2,931",,"     3,628",,"     4,009",,"     3,841",,"     4,239",,"     4,426",,"5,051"
Sarasota,"2,021",,"    2,534",,"    2,353",,"     2,827",,"     5,074",,"     6,699",,"     6,921",,"     8,207",,"     7,849",,"10,073"
Seminole,"2,283",,"    3,267",,"    3,256",,"     4,991",,"     5,136",,"     5,621",,"     5,293",,"     7,077",,"     6,550",,"4,664"
Sumter,"3,014",,"    2,477",,"    4,008",,"     4,642",,"     3,780",,"     2,591",,"     1,841",,"     3,175",,"     3,055",,"7,749"
Suwannee,"1,499",, 373 ,,-41 ,,  129 ,,40 ,, -207 ,,82 ,,-173 ,,226 ,,-5 
Taylor,-87 ,, 310 ,,45 ,,-187 ,,-154 ,, -343 ,,-289 ,,-134 ,,57 ,,8 
Union,-4 ,,87 ,,54 ,,  169 ,,  234 ,,94 ,,204 ,,-16 ,,-218 ,,8 
Volusia,"2,062",,"    2,955",,"    3,167",,"     5,218",,"     6,715",,"     7,172",,"     6,556",,"     7,523",,"     7,408",,"10,174"
Wakulla,   145 ,,-47 ,,255 ,,  387 ,,29 ,,  250 ,,181 ,,46 ,,"     1,032",,710 
Walton,   796 ,,"    1,531",,"    1,273",,"     2,066",,"     1,370",,"     2,243",,"     2,454",,"     2,419",,"     2,444",,"3,666"
Washington,  -268 ,, 316 ,,-91 ,,  136 ,,46 ,,-98 ,,79 ,,  108 ,,301 ,,-107 
"  Source:  University of Florida, Bureau of Economic and Business Research                                                                                                                                                                                                                November 2021",,,,,,,,,,,,,,,,,,,
